obs,individual,group,dominance_rank,date,Temp,age,known/estimate,birthday,Column1,brow_width,muzzle_width,facial_width,facial_length,scrotum_width,left_test_length,right_test_length,body_length 
209,WE,AD,s,2022.12.01,25.15,9.08,known ,11/1/13,12/1/22,55.52666667,40.26666667,67.29,35.32,24.31,20.21,19.09,na
210,WE,AD,s,2022.12.13,25.2,9.12,known ,11/1/13,12/13/22,na,na,na,na,26.09,17.56,16.91333333,na
211,WE,AD,s,2023.02.17,28.2,9.29,known ,11/1/13,2/17/23,na,na,na,na,na,na,na,243.66
212,WE,AD,s,2023.03.01,27.95,9.33,known ,11/1/13,3/1/23,na,na,na,na,na,na,na,244.77
213,WE,AD,s,2023.03.02,28.55,9.34,known ,11/1/13,3/2/23,58.02333333,39.19166667,58.13,34.81333333,28.75166667,17.22833333,16.875,na
214,WE,AD,s,2023.04.27,29.8,9.49,known ,11/1/13,4/27/23,na,na,na,na,26.49766904,18.22491823,17.53647295,na
215,WE,AD,s,2023.05.22,30.85,9.56,known ,11/1/13,5/22/23,56.47333333,38.78,na,35.28666667,28.09333333,na,na,na
216,WE,AD,s,2023.07.03,28.3,9.67,known ,11/1/13,7/3/23,63.95571,42.36692401,67.27143438,35.96708655,na,na,na,na
217,WE,AD,s,2023.07.20,29.85,9.72,known ,11/1/13,7/20/23,56.5623271,37.87868239,61.39550265,34.41303294,26.1175,na,na,na
218,WE,AD,s,2023.08.04,29.5,9.76,known ,11/1/13,8/4/23,na,na,na,na,29.96333333,na,na,237.225
219,WE,AD,s,2023.08.17,28.9,9.79,known ,11/1/13,8/17/23,na,na,na,na,27.49521531,na,na,na
220,WE,AD,s,2023.10.26,25.65,9.99,known ,11/1/13,10/26/23,na,na,na,na,30.19274506,20.66348449,19.74940334,229.1429471
221,WE,AD,s,2023.11.22,28.2,10.06,known ,11/1/13,11/22/23,na,na,na,na,29.42939796,19.61243501,19.14920302,232.4106918
222,WE,AD,s,2023.12.07,29.1,10.10,known ,11/1/13,12/7/23,60.95818167,42.43947789,67.06404236,35.98066299,na,na,na,na
223,WE,AD,s,2024.01.17,26.2,10.21,known ,11/1/13,1/17/24,55.4109589,39.30821918,66.51369863,36.36986301,28.2475056,18.76756457,18.57769151,227.9223172
224,WE,AD,s,2024.03.08,28.4,10.35,known ,11/1/13,3/8/24,61.27223792,40.86060006,69.26416273,38.19158239,23.51190476,na,na,na
225,WE,AD,s,2024.03.21,29,10.39,known ,11/1/13,3/21/24,56.67957909,41.14374144,68.62894937,35.96075593,na,na,na,226.4103245
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
